dataset_name,task_name,link,example_template,has_answer_choices,subset,Notes,,,,,,,,,,,,,,
xcsr,commonsense reasoning,https://huggingface.co/datasets/xcsr,,,,machine translated,,,,,,,,,,,,,,
Commonsense validation,commonsense validation,https://huggingface.co/datasets/arbml/Commonsense_Validation,"Do the following two sentences talk about the same thing:
first sentence: {{first_sentence}}
second sentence: {{second_sentence}}
{{answer_choices | join('or')}}?
|||
{{answer_choices[label]}}",yes,,,,,,,,,,,,,,,,
Arabic Text Diacritization,diacritization,https://huggingface.co/datasets/arbml/arabic_text_diacritization,"Diacritize the following text:
{{text}}
|||
{{diaritized}}",no,,,,,,,,,,,,,,,,
Shakkelha,diacritization,https://huggingface.co/datasets/arbml/shakkelha,"Given an undiaritized text {{text}}, what is the diaritization form of it?
|||
{{diaritized}}",no,,,,,,,,,,,,,,,,
AraBench,dialect identification,https://huggingface.co/datasets/arbml/AraBench_dev,"Given the following Arabic text {{Arabic}}, in what dialect was it written, choose from the following
{{answer_choices | join(',')}}
|||
{{answer_choices[label]}}",yes,,dev and test set has diferent number of labels,,,,,,,,,,,,,,
Arabic - Egyptian comparable Wikipedia corpus,dialect identification,https://huggingface.co/datasets/arbml/Comparable_Wikipedia,,,,not correct format,,,,,,,,,,,,,,
Arabic Dialects Dataset,dialect identification,https://huggingface.co/datasets/arbml/Arabic_Dialects_Dataset,"Given the following Arabic text {{Text}}, in what dialect was it written, choose from the following
{{answer_choices | join('or')}}
|||
{{answer_choices[label]}}",yes,,,,,,,,,,,,,,,,
araData,dialect identification,https://huggingface.co/datasets/arbml/araData,"Given the following Arabic text {{Sentence}}, in what dialect was it written, choose from the following
{{answer_choices | join('or')}}
|||
{{answer_choices[label]}}",yes,,,,,,,,,,,,,,,,
Shami,dialect identification,https://huggingface.co/datasets/arbml/Shami,"Given the following Arabic text {{Arabic}}, in what dialect was it written, choose from the following
{{answer_choices | join('or')}}
|||
{{answer_choices[label]}}",yes,,,,,,,,,,,,,,,,
Twt15DA_Lists,dialect identification,https://huggingface.co/datasets/arbml/Twt15DA_Lists,"Given the following Arabic word {{word}}, in what dialect was it written, choose from the following
{{answer_choices | join('or')}}
|||
{{answer_choices[label]}}",yes,,,,,,,,,,,,,,,,
Emotional-Tone,emotion classification,https://huggingface.co/datasets/emotone_ar,"What feeling does the following tweet {{Tweet}} imply. Choose from the following  {{answer_choices | join('or')}}? 
|||
{{answer_choices [label] }}",yes,,,,,,,,,,,,,,,,
SemEval-2018 Task 1,emotion classification,https://huggingface.co/datasets/sem_eval_2018_task_1,"Given the following Tweet {{Tweet}}. Does it show anger? options:  {{answer_choices | join('or')}}? 
|||
{{answer_choices [anger] }}",yes,subtask5.arabic,,,,,,,,,,,,,,,
ArMATH,math solving,https://huggingface.co/datasets/arbml/ArMATH,"Givent the following Math Questions {{question}}. Represent it as an equation? 
|||
{{equation}}",no,,,,,,,,,,,,,,,,
APCD,meter classification,https://huggingface.co/datasets/arbml/APCD_remap,"Given the following verse from a poem {{first_shatr}} and {{second_shatr}}. What it's meter, chooose from the following  {{answer_choices | join('or')}}
|||
{{answer_choices [meter] }}",yes,,,,,,,,,,,,,,,,
APCD2,meter classification,https://huggingface.co/datasets/arbml/APCDv2,"Given the following verse from a poem {{poem}}. What it's meter, chooose from the following  {{answer_choices | join('or')}}
|||
{{answer_choices [label] }}",yes,,,,,,,,,,,,,,,,
ashaar,"meter classification, poetry era classification, poetry theme classification",https://huggingface.co/datasets/MagedSaeed/ashaar,,,,,,,,,,,,,,,,,,
ArabicMMLU,multiple choice,https://huggingface.co/datasets/Zaid/ammlu,"You have the following question: {{Question}} and the following options: A. {{A}} B. {{B}} C. {{C}} D. {{D}} E. {{E}}, the correct answer is 
|||
{{answer}}
",no,Humanities,,,,,,,,,,,,,,,
cidar-mcq,multiple choice,https://huggingface.co/datasets/arbml/CIDAR-MCQ-100,"You have the following question: {{Question}} and the following options: A. {{A}} B. {{B}} C. {{C}} D. {{D}} E. {{E}}, the correct answer is 
|||
{{answer}}
",no,,needs to convert the data to labels,,,,,,,,,,,,,,
belebele,multiple choice,https://huggingface.co/datasets/facebook/belebele,"Given the following document : {{flores_passage}} and the question {{question}} and the following options: 1. {{mc_answer1}} 2. {{mc_answer2}} 3. {{mc_answer3}} 4. {{mc_answer4}}, the correct answer is 
|||
{{correct_answer_num}}
",no,acm_Arab,,,,,,,,,,,,,,,
QA4MRE,multiple choice,https://huggingface.co/datasets/qa4mre,"Given the following document : {{document_str}} and the question {{question_str}} and the following options: 1. {{answer_options['answer_str'][0]}} 2. {{answer_options['answer_str'][1]}} 3. {{answer_options['answer_str'][2]}} 4. {{answer_options['answer_str'][3]}} 5. {{answer_options['answer_str'][4]}}, the correct answer is 
|||
{{correct_answer_id}}
",no,2012.main.AR,,,,,,,,,,,,,,,
AQMAR,named entity recognition,https://huggingface.co/datasets/arbml/AQMAR,,,,,,,,,,,,,,,,,,
CANERCorpus,named entity recognition,https://huggingface.co/datasets/caner,,,,,,,,,,,,,,,,,,
Cross-lingual NER,named entity recognition,https://huggingface.co/datasets/arbml/Zero_Shot_Cross_Lingual_NER_ar,,,,,,,,,,,,,,,,,,
Disease NER,named entity recognition,https://huggingface.co/datasets/arbml/Disease_NER,,,,,,,,,,,,,,,,,,
Named Entities Lexicon,named entity recognition,https://huggingface.co/datasets/arbml/Named_Entities_Lexicon,,,,,,,,,,,,,,,,,,
WDC,named entity recognition,https://huggingface.co/datasets/arbml/WDC,,,,,,,,,,,,,,,,,,
ArEntail,NLI,https://huggingface.co/datasets/arbml/ArEntail,"Given the {{premise}}, is it true that {{hypothesis}}? {{answer_choices | join('or')}}
|||
{{answer_choices[label]}}",yes,,,,,,,,,,,,,,,,
Textual Entailment,NLI,https://huggingface.co/datasets/arbml/ArabicTE,"Given the {{Premise}}, is it true that {{Hypothesis}}? {{answer_choices | join('or')}}
|||
{{answer_choices[label]}}",yes,,,,,,,,,,,,,,,,
XTREME,"NLI,part of speech tagging,named entity recognition,question answering,machine translation",https://huggingface.co/datasets/xtreme,,,,machine translated,,,,,,,,,,,,,,
